female,age,edu,income,region,july25,mps,people,officials,leg2019_voted,leg2019,pres2019_1_voted,pres2019_1,pres2019_2_voted,pres2019_2
0,71,2,NA,Kairouan,1,5,1,5,1,98,1,1,1,1
0,76,7,3,Mahdia,1,1,1,1,1,6,1,4,1,1
0,70,4,4,Le Kef,1,1,1,1,2,NA,1,6,1,1
0,70,2,NA,Tunis,1,1,1,1,1,4,1,1,1,1
0,62,6,6,Nabeul,1,1,1,1,1,1,1,1,1,1
0,60,2,1,Gafsa,1,1,1,1,2,NA,2,NA,2,NA
0,54,8,8,Sousse,1,1,5,1,1,3,1,9,2,NA
0,62,5,5,Nabeul,1,2,1,1,1,1,1,11,1,1
0,NA,8,8,Ben Arous,1,1,5,1,1,3,1,98,1,1
0,61,7,6,Ariana,1,1,1,1,1,98,1,5,1,1
0,55,2,3,Ben Arous,2,5,5,1,1,1,1,1,1,1
0,62,2,2,Tunis,1,1,1,1,1,3,1,1,1,1
0,66,2,2,Medenine,2,3,5,1,1,1,1,5,1,1
0,63,4,7,Monastir,1,4,4,5,1,3,1,9,1,1
0,65,6,5,Ariana,1,2,2,1,1,4,1,1,1,1
0,66,2,2,Tunis,1,2,2,2,1,7,2,NA,1,2
0,60,2,2,Tunis,2,5,1,5,1,2,2,NA,2,NA
0,63,7,8,Tunis,1,1,5,2,1,4,1,1,1,1
0,67,7,4,Tunis,2,1,2,2,1,3,1,1,1,1
0,67,2,4,Sfax,1,4,1,4,1,2,1,2,1,2
0,77,1,2,Le Kef,1,1,1,5,1,96,1,1,1,1
0,66,8,NA,Nabeul,1,1,5,1,1,3,1,1,1,1
0,80,7,4,Tunis,1,2,2,2,2,NA,2,NA,2,NA
0,60,4,3,Tunis,1,1,5,1,1,96,2,NA,2,NA
0,67,2,2,Sfax,2,1,1,1,1,1,1,1,1,1
0,66,3,3,Gabes,1,1,1,1,1,99,1,1,1,1
0,66,4,2,Tataouine,1,1,2,2,2,NA,1,11,1,1
0,78,1,2,Jendouba,1,5,1,5,2,NA,1,6,1,1
0,60,2,3,Jendouba,1,5,5,5,2,NA,2,NA,2,NA
0,67,2,2,Jendouba,1,2,1,5,1,1,1,1,1,1
0,70,2,2,Jendouba,2,5,5,1,1,3,1,1,1,1
0,52,5,5,Le Kef,1,1,2,1,1,96,1,98,1,98
0,37,8,4,Bizerte,1,5,1,1,1,98,1,1,1,1
0,30,4,3,Kasserine,1,1,1,1,2,NA,2,NA,2,NA
0,20,5,5,Kairouan,1,1,4,1,2,NA,2,NA,2,NA
0,22,4,8,Tunis,1,1,5,1,2,NA,2,NA,2,NA
0,20,5,3,Sousse,2,1,2,1,2,NA,2,NA,2,NA
0,26,5,4,Nabeul,1,3,3,1,2,NA,2,NA,2,NA
0,20,4,5,Sfax,2,1,1,2,2,NA,2,NA,2,NA
0,19,4,2,Jendouba,1,5,1,5,2,NA,2,NA,2,NA
0,18,2,3,Kasserine,1,2,1,1,2,NA,2,NA,2,NA
0,22,5,3,Monastir,2,2,3,1,1,1,1,3,1,1
0,21,5,2,Tozeur,1,2,2,1,2,NA,2,NA,2,NA
0,20,4,2,Gafsa,1,5,1,1,2,NA,2,NA,2,NA
0,19,4,NA,Monastir,1,1,2,1,2,NA,2,NA,2,NA
0,18,4,NA,Nabeul,1,4,1,1,2,NA,2,NA,2,NA
0,22,5,5,Jendouba,1,98,2,2,2,NA,2,NA,1,98
0,19,5,NA,Le Kef,1,1,2,2,2,NA,2,NA,2,NA
0,25,5,5,Ben Arous,1,1,2,1,2,NA,2,NA,1,1
0,19,4,8,Kairouan,2,2,3,1,2,NA,2,NA,2,NA
0,19,4,2,Gabes,2,4,1,1,2,NA,2,NA,2,NA
0,22,5,2,Nabeul,98,1,5,1,1,99,1,99,1,99
0,23,5,4,Tunis,1,2,2,1,1,98,1,96,1,1
0,24,7,7,Tunis,98,2,4,2,1,96,1,4,1,1
0,19,4,5,Nabeul,1,1,1,1,2,NA,2,NA,2,NA
0,19,4,4,Siliana,1,2,1,4,2,NA,2,NA,2,NA
0,18,4,4,Bizerte,98,5,5,2,2,NA,2,NA,2,NA
0,43,2,3,Sidi Bou Zid,2,1,1,1,2,NA,2,NA,2,NA
0,38,3,2,Ben Arous,1,5,1,1,2,NA,2,NA,2,NA
0,50,2,2,Tunis,2,1,1,1,1,1,1,1,1,1
0,55,4,4,Tunis,2,5,1,1,2,NA,2,NA,2,NA
0,22,4,6,Tunis,1,5,1,4,2,NA,2,NA,2,NA
0,50,2,1,Kasserine,2,2,1,1,2,NA,2,NA,2,NA
0,25,8,8,Monastir,1,1,4,1,1,4,1,1,1,1
0,52,1,1,Kairouan,1,5,1,1,2,NA,2,NA,2,NA
0,20,4,6,Tunis,2,1,1,1,2,NA,2,NA,2,NA
0,20,7,1,Monastir,1,3,2,4,2,NA,2,NA,2,NA
0,48,3,2,Jendouba,2,4,4,2,1,1,1,3,1,1
0,40,4,NA,Ariana,1,2,1,1,1,96,1,1,1,1
0,32,3,3,Sidi Bou Zid,1,5,5,1,1,98,98,NA,98,NA
0,70,1,3,Tunis,98,5,1,5,2,NA,2,NA,2,NA
0,25,4,3,Gafsa,99,1,2,2,1,99,1,99,1,99
0,60,4,1,Mahdia,1,1,1,1,2,NA,2,NA,1,1
0,72,2,2,Kairouan,1,5,4,1,1,96,1,1,1,1
0,43,4,2,Kairouan,98,5,4,2,2,NA,1,1,2,NA
0,33,2,2,Tunis,2,3,1,3,2,NA,2,NA,2,NA
0,26,4,2,Sidi Bou Zid,1,1,5,1,2,NA,2,NA,2,NA
0,38,7,2,Kebili,2,2,1,2,2,NA,2,NA,1,1
0,32,4,3,Sidi Bou Zid,2,5,4,5,2,NA,2,NA,2,NA
0,59,2,2,Sidi Bou Zid,98,4,2,1,1,3,1,1,1,1
0,29,4,2,Kasserine,2,4,1,1,1,1,1,1,1,1
0,53,4,2,Gabes,2,5,5,5,1,3,1,1,1,1
0,50,2,1,Medenine,98,5,5,2,2,NA,1,1,2,NA
0,65,4,2,Ben Arous,1,5,1,2,2,NA,2,NA,2,NA
0,31,7,3,Gafsa,2,1,2,1,1,99,1,1,2,NA
0,28,4,3,Nabeul,1,5,5,1,1,97,2,NA,1,1
0,45,7,2,Kairouan,1,5,1,1,2,NA,2,NA,2,NA
0,48,4,NA,Medenine,2,4,1,1,1,99,1,99,1,1
0,56,2,2,Le Kef,1,5,1,1,2,NA,2,NA,2,NA
0,19,3,2,Beja,2,5,4,2,2,NA,2,NA,2,NA
0,24,4,2,Sfax,1,1,1,1,2,NA,2,NA,2,NA
0,36,2,1,Siliana,1,5,5,5,2,NA,1,1,2,NA
0,64,2,1,Beja,1,1,2,1,98,NA,98,NA,1,1
0,48,2,2,Manouba,2,98,1,1,98,NA,2,NA,2,NA
0,23,3,8,Medenine,1,5,1,1,2,NA,2,NA,2,NA
0,38,3,4,Gabes,2,4,1,1,2,NA,2,NA,2,NA
0,31,4,2,Bizerte,2,5,1,1,2,NA,2,NA,2,NA
